grid_id,distance,PGA (g)_pred,lat,lon,PGA (g)_ref,PGA_diff
1098191303,110.665080907,0.037097530737,37.9291666663,139.645833332,0.04565,-0.008552469263
1098191304,111.321703313,0.0367329692457,37.9374999996,139.645833332,0.045175,-0.0084420307543
1098191305,111.982143176,0.0332636492954,37.9458333329,139.645833332,0.045175,-0.0119113507046
1098191306,112.64633336,0.0329349056477,37.9541666663,139.645833332,0.043725,-0.0107900943523
1098191307,113.314207901,0.0326085484109,37.9624999996,139.645833332,0.043725,-0.0111164515891
1098191308,113.985702044,0.0353004446536,37.9708333329,139.645833332,0.042375,-0.0070745553464
1098191309,114.660752205,0.0349489152504,37.9791666663,139.645833332,0.042375,-0.0074260847496
1098191310,115.33929593,0.0346000852242,37.9874999996,139.645833332,0.042925,-0.0083249147758
1098191311,116.021271931,0.0342539792652,37.9958333329,139.645833332,0.042925,-0.0086710207348
1098191312,116.706620046,0.0339106195769,38.0041666663,139.645833332,0.043,-0.0090893804231
1098191313,117.395281202,0.0335700259898,38.0124999996,139.645833332,0.043,-0.0094299740102
1098191314,118.087197443,0.0332322160335,38.0208333329,139.645833332,0.042525,-0.0092927839665
1098191315,118.782311893,0.0328972050458,38.0291666663,139.645833332,0.042525,-0.0096277949542
1098191316,119.480568718,0.0325650062764,38.0374999996,139.645833332,0.04275,-0.0101849937236
1098191317,120.181913153,0.0402284899251,38.0458333329,139.645833332,0.04275,-0.0025215100749
1098191318,120.886291466,0.0319090883858,38.0541666663,139.645833332,0.042025,-0.0101159116142
1098191319,121.593650917,0.0315853860544,38.0624999996,139.645833332,0.042025,-0.0104396139456
1098191320,122.303939789,0.0285934945326,38.0708333329,139.645833332,0.041025,-0.0124315054674
1098191321,123.017107346,0.0283026565204,38.0791666663,139.645833332,0.041025,-0.0127223434796
1098191322,123.733103797,0.0280144272707,38.0874999996,139.645833332,0.04105,-0.0130355727293
1098191323,124.451880324,0.0277288076319,38.0958333329,139.645833332,0.04105,-0.0133211923681
1098191324,125.173389045,0.0274457971282,38.1041666663,139.645833332,0.04075,-0.0133042028718
1098191325,125.897582967,0.027165394034,38.1124999996,139.645833332,0.04075,-0.013584605966
1098191326,126.624416028,0.026887595416,38.1208333329,139.645833332,0.0405,-0.013612404584
1098191327,127.35384305,0.0266123972031,38.1291666663,139.645833332,0.0405,-0.0138876027969
1098191328,128.085819699,0.0263397942541,38.1374999996,139.645833332,0.040225,-0.0138852057459
1098191329,128.820302523,0.0260697803941,38.1458333329,139.645833332,0.040225,-0.0141552196059
1098191330,129.557248905,0.0258023484781,38.1541666663,139.645833332,0.0396,-0.0137976515219
1098191331,130.296617028,0.0255374904524,38.1624999996,139.645833332,0.0396,-0.0140625095476
1098256610,155.595814872,0.033953448866,36.020833333,139.654166665,0.0394,-0.005446551134
1098256611,154.798466725,0.0338893411813,36.0291666663,139.654166665,0.0394,-0.0055106588187
1098256612,154.00256576,0.0342167565054,36.0374999996,139.654166665,0.0416,-0.0073832434946
1098256613,153.208134522,0.040473795178,36.045833333,139.654166665,0.0416,-0.001126204822
1098256614,152.415196011,0.0409433083166,36.0541666663,139.654166665,0.040375,0.0005683083166
1098256615,151.623773637,0.0413283163349,36.0624999996,139.654166665,0.040375,0.0009533163349
1098256616,150.833891256,0.0417820270585,36.070833333,139.654166665,0.040275,0.0015070270585
1098256617,150.045573208,0.0368014120933,36.0791666663,139.654166665,0.040275,-0.0034735879067
1098256618,149.258844269,0.0426650116513,36.0874999996,139.654166665,0.041725,0.0009400116513
1098256619,148.473729692,0.0431069388406,36.095833333,139.654166665,0.041725,0.0013819388406
1098256620,147.690255241,0.0434858833975,36.1041666663,139.654166665,0.0413,0.0021858833975
1098256621,146.908447147,0.0438549083761,36.1124999996,139.654166665,0.0413,0.0025549083761
1098256622,146.128332146,0.0405247484622,36.120833333,139.654166665,0.040675,-0.0001502515378
1098256623,145.349937518,0.0448381271663,36.1291666663,139.654166665,0.040675,0.0041631271663
1098256624,144.573291043,0.0389976735242,36.1374999996,139.654166665,0.04365,-0.0046523264758
1098256625,143.798421036,0.0393576526698,36.145833333,139.654166665,0.04365,-0.0042923473302
1098256626,143.025356388,0.0461757195691,36.1541666663,139.654166665,0.043125,0.0030507195691
1098256627,142.254126523,0.0466545180305,36.1624999996,139.654166665,0.043125,0.0035295180305
1098256628,141.484761436,0.0405673115866,36.170833333,139.654166665,0.045275,-0.0047076884134
1098256629,140.717291733,0.0473353226625,36.1791666663,139.654166665,0.045275,0.0020603226625
1098256630,139.951748585,0.0414035988112,36.1874999996,139.654166665,0.05,-0.0085964011888
1098256631,139.188163773,0.0481897349055,36.195833333,139.654166665,0.05,-0.0018102650945
1098256632,138.426569722,0.0486008488554,36.2041666663,139.654166665,0.051475,-0.0028741511446
1098256633,137.666999462,0.0422889246353,36.2124999996,139.654166665,0.051475,-0.0091860753647
1098256634,136.909486669,0.0415402587616,36.220833333,139.654166665,0.05335,-0.0118097412384
1098256635,136.154065702,0.049812170796,36.2291666663,139.654166665,0.05335,-0.003537829204
1098256636,135.400771562,0.0499424258842,36.2374999996,139.654166665,0.0586,-0.0086575741158
1098256637,134.649639937,0.050341416594,36.245833333,139.654166665,0.0586,-0.008258583406
1098256638,133.900707238,0.0507292462346,36.2541666663,139.654166665,0.05265,-0.0019207537654
1098256639,133.154010559,0.0511353415545,36.2624999996,139.654166665,0.05265,-0.0015146584455
1098256640,132.409587719,0.0426791734675,36.270833333,139.654166665,0.049875,-0.0071958265325
1098256641,131.667477306,0.0434390458036,36.2791666663,139.654166665,0.049875,-0.0064359541964
1098256642,130.92771863,0.0418943795475,36.2874999996,139.654166665,0.04405,-0.0021556204525
1098256643,130.190351772,0.0417905531392,36.295833333,139.654166665,0.04405,-0.0022594468608
1098256682,103.826500565,0.0376699494935,36.620833333,139.654166665,0.0426,-0.0049300505065
1098256683,103.228353814,0.0380223197235,36.6291666663,139.654166665,0.0426,-0.0045776802765
1098256684,102.63508712,0.0383760928503,36.6374999996,139.654166665,0.057925,-0.0195489071497
1098256685,102.046785589,0.0467773399483,36.645833333,139.654166665,0.057925,-0.0111476600517
1098256686,101.463535603,0.039087489359,36.6541666663,139.654166665,0.067675,-0.028587510641
1098256687,100.885424767,0.0394449224665,36.6624999996,139.654166665,0.067675,-0.0282300775335
1098256688,100.312541928,0.0398033777396,36.670833333,139.654166665,0.07075,-0.0309466222604
1098256689,99.7449771798,0.0401627485512,36.6791666663,139.654166665,0.07075,-0.0305872514488
1098256690,99.182821812,0.0405229235297,36.6874999996,139.654166665,0.07185,-0.0313270764703
1098256691,98.6261683165,0.0408837864632,36.695833333,139.654166665,0.07185,-0.0309662135368
1098256692,98.075110389,0.0412452162066,36.7041666663,139.654166665,0.0917,-0.0504547837934
1098256693,97.5297428702,0.0564241102482,36.7124999996,139.654166665,0.0917,-0.0352758897518
1098256694,96.9901617439,0.0569152688926,36.720833333,139.654166665,0.0922,-0.0352847311074
1098256695,96.456464131,0.0601462418566,36.7291666663,139.654166665,0.0922,-0.0320537581434
1098256696,95.9287482234,0.0587702834099,36.7374999996,139.654166665,0.0873,-0.0285297165901
1098256697,95.407113273,0.0588344208415,36.745833333,139.654166665,0.0873,-0.0284655791585
1098256698,94.8916595764,0.058880298088,36.7541666663,139.654166665,0.085375,-0.026494701912
1098256699,94.3824884008,0.0593706415153,36.7624999996,139.654166665,0.085375,-0.0260043584847
1098256700,93.8797019631,0.0482642251998,36.770833333,139.654166665,0.075775,-0.0275107748002
1098256701,93.3834034039,0.0486581142295,36.7791666663,139.654166665,0.075775,-0.0271168857705
1098256702,92.8936967043,0.0490509891536,36.7874999996,139.654166665,0.0703,-0.0212490108464
1098256703,92.4106866544,0.0494426550138,36.795833333,139.654166665,0.0703,-0.0208573449862
1098256704,91.9344788154,0.0498329111388,36.8041666663,139.654166665,0.063225,-0.0133920888612
1098256705,91.4651794274,0.0502215512315,36.8124999996,139.654166665,0.063225,-0.0130034487685
1098256706,91.002895365,0.0462847187526,36.820833333,139.654166665,0.05465,-0.0083652812474
1098256707,90.547734088,0.0466366137597,36.8291666663,139.654166665,0.05465,-0.0080133862403
1098256708,90.0998035382,0.0469864345917,36.8374999996,139.654166665,0.05265,-0.0056635654083
1098256709,89.659212083,0.0517556325879,36.845833333,139.654166665,0.05265,-0.0008943674121
1098256710,89.2260684527,0.0521329069091,36.8541666663,139.654166665,0.052725,-0.0005920930909
1098256711,88.8004816271,0.0525072144862,36.8624999996,139.654166665,0.052725,-0.0002177855138
1098256712,88.3825607657,0.0528783127256,36.870833333,139.654166665,0.054375,-0.0014966872744
1098256713,87.9724151323,0.0532459545356,36.8791666663,139.654166665,0.054375,-0.0011290454644
1098256714,87.5701539705,0.0567711650962,36.8874999996,139.654166665,0.0541,0.0026711650962
1098256715,87.1758864212,0.0539698596019,36.895833333,139.654166665,0.0541,-0.0001301403981
1098256716,86.7897214337,0.0496843869796,36.9041666663,139.654166665,0.058375,-0.0086906130204
1098256717,86.4117676319,0.0546768730898,36.9124999996,139.654166665,0.058375,-0.0036981269102
1098256718,86.0421332183,0.0550233877999,36.920833333,139.654166665,0.060225,-0.0052016122001
1098256719,85.6809258733,0.0553648845917,36.9291666663,139.654166665,0.060225,-0.0048601154083
1098256720,85.3282526117,0.0557010930924,36.9374999996,139.654166665,0.0617,-0.0059989069076
1098256721,84.9842196754,0.0560317410479,36.945833333,139.654166665,0.0617,-0.0056682589521
1098256722,84.6489324216,0.0563565547448,36.9541666663,139.654166665,0.064125,-0.0077684452552
1098256723,84.3224951713,0.0566752594904,36.9624999996,139.654166665,0.064125,-0.0074497405096
1098256724,84.005011092,0.0569875800798,36.970833333,139.654166665,0.06625,-0.0092624199202
1098256725,83.696582077,0.057293241285,36.9791666663,139.654166665,0.06625,-0.008956758715
1098256726,83.3973085877,0.0575919683983,36.9874999996,139.654166665,0.067375,-0.0097830316017
1098256727,83.1072895294,0.0578834877603,36.995833333,139.654166665,0.067375,-0.0094915122397
1098256728,82.8266221227,0.0581675273074,37.0041666663,139.654166665,0.0698,-0.0116324726926
1098256729,82.5554017439,0.0584438171667,37.0124999996,139.654166665,0.0698,-0.0113561828333
1098256730,82.2937217953,0.0587120902326,37.020833333,139.654166665,0.072425,-0.0137129097674
1098256731,82.0416735738,0.0589720827583,37.0291666663,139.654166665,0.072425,-0.0134529172417
1098256732,81.7993461107,0.0541638668901,37.0374999996,139.654166665,0.075525,-0.0213611331099
1098256733,81.566826042,0.0594661917539,37.045833333,139.654166665,0.075525,-0.0160588082461
