Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CJPS_CRUST_1_82,1,CRUST,0.00038784,4.98,0.9,45.5,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_83,1,CRUST,0.000387598,4.98,0.9,45.5,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_84,1,CRUST,0.000387462,4.98,0.9,45.5,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_85,1,CRUST,0.000393577,4.98,0.9,45.4,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_86,1,CRUST,0.000394987,4.98,0.9,45.4,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_87,1,CRUST,0.000396321,4.98,0.9,45.4,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_88,1,CRUST,0.000396925,4.98,0.9,45.4,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_89,1,CRUST,0.000396371,4.98,0.9,45.4,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_90,1,CRUST,0.000394775,4.98,0.9,45.4,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_91,1,CRUST,0.000392775,4.98,0.9,45.4,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_92,1,CRUST,0.000391105,4.98,0.9,45.4,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_93,1,CRUST,0.000390125,4.98,0.9,45.4,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_94,1,CRUST,0.000389709,4.98,0.9,45.4,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_95,1,CRUST,0.000389492,4.98,0.9,45.4,140.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_96,1,CRUST,0.000389202,4.98,0.9,45.4,140.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_97,1,CRUST,0.000394387,4.98,0.9,45.3,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_98,1,CRUST,0.000394419,4.98,0.9,45.3,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_99,1,CRUST,0.000395115,4.98,0.9,45.3,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
