Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_59,INTRA,0.000995011,4.98,0.9,35.3,137.5,56.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_60,INTRA,0.00091911,4.98,0.9,35.3,137.6,55.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_61,INTRA,0.000837793,4.98,0.9,35.3,137.7,53.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_62,INTRA,0.000821168,4.98,0.9,35.3,137.8,51.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_63,INTRA,0.000963278,4.98,0.9,35.3,138.2,37.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_64,INTRA,0.000820897,4.98,0.9,35.3,138.3,31.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_65,INTRA,0.000676119,4.98,0.9,35.3,138.4,28.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_66,INTRA,0.000332632,4.98,0.9,35.2,135.7,88.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_67,INTRA,0.000341614,4.98,0.9,35.2,135.8,83.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_68,INTRA,0.000358001,4.98,0.9,35.2,135.9,78.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_69,INTRA,0.000382855,4.98,0.9,35.2,136.0,73.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_70,INTRA,0.000413263,4.98,0.9,35.2,136.1,68.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_71,INTRA,0.000444125,4.98,0.9,35.2,136.2,64.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_72,INTRA,0.0004745,4.98,0.9,35.2,136.3,60.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_73,INTRA,0.000510575,4.98,0.9,35.2,136.4,57.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_74,INTRA,0.000562843,4.98,0.9,35.2,136.5,53.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_75,INTRA,0.00064262,4.98,0.9,35.2,136.6,50.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_76,INTRA,0.000754047,4.98,0.9,35.2,136.7,48.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_77,INTRA,0.000880427,4.98,0.9,35.2,136.8,47.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_78,INTRA,0.000985041,4.98,0.9,35.2,136.9,47.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_79,INTRA,0.00103949,4.98,0.9,35.2,137.0,48.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_80,INTRA,0.00105239,4.98,0.9,35.2,137.1,49.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_81,INTRA,0.00106171,4.98,0.9,35.2,137.2,49.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_82,INTRA,0.00109024,4.98,0.9,35.2,137.3,50.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_83,INTRA,0.0011135,4.98,0.9,35.2,137.4,50.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_84,INTRA,0.00108684,4.98,0.9,35.2,137.5,50.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
