Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPCF_INTRA_10_121,10,INTRA,0.00291981,4.98,0.9,45.8,150.0,118.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_122,10,INTRA,0.00285568,4.98,0.9,45.8,150.1,113.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_123,10,INTRA,0.00285304,4.98,0.9,45.8,150.2,108.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_124,10,INTRA,0.00302644,4.98,0.9,45.8,150.3,104.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_125,10,INTRA,0.00340953,4.98,0.9,45.8,150.4,99.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_126,1,INTRA,0.00308038,4.98,0.9,45.8,150.5,93.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_127,1,INTRA,0.00321076,4.98,0.9,45.8,150.6,89.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_128,1,INTRA,0.00331865,4.98,0.9,45.8,150.7,87.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_129,1,INTRA,0.0034081,4.98,0.9,45.8,150.8,84.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_130,1,INTRA,0.00350508,4.98,0.9,45.8,150.9,81.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_131,1,INTRA,0.00363607,4.98,0.9,45.8,151.0,77.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_132,1,INTRA,0.00380735,4.98,0.9,45.8,151.1,74.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_133,1,INTRA,0.00400263,4.98,0.9,45.8,151.2,72.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_134,1,INTRA,0.00419792,4.98,0.9,45.8,151.3,69.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_135,1,INTRA,0.00437432,4.98,0.9,45.8,151.4,67.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_136,1,INTRA,0.00451801,4.98,0.9,45.8,151.5,64.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_137,1,INTRA,0.0046132,4.98,0.9,45.8,151.6,62.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_138,1,INTRA,0.00464461,4.98,0.9,45.8,151.7,59.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_139,1,INTRA,0.00460928,4.98,0.9,45.8,151.8,57.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_140,1,INTRA,0.00452321,4.98,0.9,45.8,151.9,55.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_1_141,1,INTRA,0.00441421,4.98,0.9,45.8,152.0,52.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_142,10,INTRA,0.00115268,4.98,0.9,45.7,149.1,177.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_143,10,INTRA,0.00128374,4.98,0.9,45.7,149.2,166.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_144,10,INTRA,0.00148326,4.98,0.9,45.7,149.3,158.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_145,10,INTRA,0.0017831,4.98,0.9,45.7,149.4,149.4,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_146,10,INTRA,0.00220864,4.98,0.9,45.7,149.5,138.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_147,10,INTRA,0.00275546,4.98,0.9,45.7,149.6,131.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_148,10,INTRA,0.00336532,4.98,0.9,45.7,149.7,125.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_149,10,INTRA,0.00392344,4.98,0.9,45.7,149.8,119.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_150,10,INTRA,0.00429679,4.98,0.9,45.7,149.9,113.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_151,10,INTRA,0.00441165,4.98,0.9,45.7,150.0,108.2,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPCF_INTRA_10_152,10,INTRA,0.00431465,4.98,0.9,45.7,150.1,103.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
