Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CYNG_INTER_1_65,INTER,0.0209019,4.98,0.9,24.7,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_66,INTER,0.019596,4.98,0.9,24.7,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_67,INTER,0.0176847,4.98,0.9,24.7,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_68,INTER,0.0156093,4.98,0.9,24.7,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_69,INTER,0.0138694,4.98,0.9,24.7,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_70,INTER,0.0125513,4.98,0.9,24.7,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_71,INTER,0.0114343,4.98,0.9,24.7,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_72,INTER,0.0104077,4.98,0.9,24.7,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_73,INTER,0.0197954,4.98,0.9,24.6,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_74,INTER,0.0186839,4.98,0.9,24.6,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_75,INTER,0.0169515,4.98,0.9,24.6,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_76,INTER,0.0151206,4.98,0.9,24.6,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_77,INTER,0.0137307,4.98,0.9,24.6,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_78,INTER,0.0127738,4.98,0.9,24.6,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_79,INTER,0.0118958,4.98,0.9,24.6,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_80,INTER,0.0109492,4.98,0.9,24.6,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_81,INTER,0.0192139,4.98,0.9,24.5,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_82,INTER,0.0181738,4.98,0.9,24.5,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_83,INTER,0.016457,4.98,0.9,24.5,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_84,INTER,0.0145866,4.98,0.9,24.5,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_85,INTER,0.0131882,4.98,0.9,24.5,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_86,INTER,0.0123445,4.98,0.9,24.5,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_87,INTER,0.0116828,4.98,0.9,24.5,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_88,INTER,0.0109583,4.98,0.9,24.5,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_89,INTER,0.0232942,4.98,0.9,24.4,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_90,INTER,0.0218791,4.98,0.9,24.4,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_91,INTER,0.0193589,4.98,0.9,24.4,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_92,INTER,0.016361,4.98,0.9,24.4,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_93,INTER,0.013893,4.98,0.9,24.4,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_94,INTER,0.0123975,4.98,0.9,24.4,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_95,INTER,0.0115339,4.98,0.9,24.4,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_96,INTER,0.010856,4.98,0.9,24.4,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_97,INTER,0.0323023,4.98,0.9,24.3,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_98,INTER,0.0301875,4.98,0.9,24.3,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_99,INTER,0.0260804,4.98,0.9,24.3,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_100,INTER,0.0209433,4.98,0.9,24.3,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_101,INTER,0.0165176,4.98,0.9,24.3,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_102,INTER,0.0137482,4.98,0.9,24.3,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_103,INTER,0.0122439,4.98,0.9,24.3,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_104,INTER,0.0112745,4.98,0.9,24.3,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
