,Code,Magnitude,Proba,Shape
0,F01300D,7.0,4.1657987172e-08,"MLTPLN(PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)),PLN((x=-822.26,y=-323.59,d=3.0)(x=-848.82,y=-341.44,d=3.0)(x=-853.28,y=-334.8,d=14.0)(x=-826.72,y=-316.95,d=14.0)))"
0,F01300F,7.3,0.0,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)))"
0,F01300A,7.2,0.0,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)),PLN((x=-822.26,y=-323.59,d=3.0)(x=-848.82,y=-341.44,d=3.0)(x=-853.28,y=-334.8,d=14.0)(x=-826.72,y=-316.95,d=14.0)))"
0,F01300C,6.9,0.0,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)))"
0,F01300B,7.4,0.0,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)),PLN((x=-837.42,y=-366.4,d=3.0)(x=-862.41,y=-389.46,d=3.0)(x=-837.42,y=-366.4,d=17.0)(x=-862.41,y=-389.46,d=17.0)))"
0,F01830B,7.4,3.73444712792e-11,"MLTPLN(PLN((x=-858.17,y=-111.76,d=4.0)(x=-812.98,y=-144.84,d=4.0)(x=-858.17,y=-111.76,d=22.0)(x=-812.98,y=-144.84,d=22.0)),PLN((x=-813.95,y=-144.45,d=2.0)(x=-781.77,y=-174.46,d=2.0)(x=-813.95,y=-144.45,d=20.0)(x=-781.77,y=-174.46,d=20.0)),PLN((x=-782.45,y=-174.7,d=2.0)(x=-772.21,y=-191.88,d=2.0)(x=-782.45,y=-174.7,d=20.0)(x=-772.21,y=-191.88,d=20.0)))"
0,F01830A,7.2,3.73463385339e-07,"MLTPLN(PLN((x=-813.95,y=-144.45,d=2.0)(x=-781.77,y=-174.46,d=2.0)(x=-813.95,y=-144.45,d=20.0)(x=-781.77,y=-174.46,d=20.0)),PLN((x=-782.45,y=-174.7,d=2.0)(x=-772.21,y=-191.88,d=2.0)(x=-782.45,y=-174.7,d=20.0)(x=-772.21,y=-191.88,d=20.0)))"
0,F01482B,7.0,4.75484409586e-14,"MLTPLN(PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)),PLN((x=-12.14,y=32.01,d=5.0)(x=0.56,y=16.56,d=5.0)(x=-9.38,y=8.4,d=15.0)(x=-22.07,y=23.85,d=15.0)))"
0,F01482C,7.5,2.20758785558e-18,"MLTPLN(PLN((x=-83.15,y=78.71,d=5.0)(x=-22.16,y=40.45,d=5.0)(x=-26.94,y=32.83,d=16.0)(x=-87.93,y=71.09,d=16.0)),PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)),PLN((x=-12.14,y=32.01,d=5.0)(x=0.56,y=16.56,d=5.0)(x=-9.38,y=8.4,d=15.0)(x=-22.07,y=23.85,d=15.0)))"
0,F01482A,7.4,8.3889442311e-14,"MLTPLN(PLN((x=-83.15,y=78.71,d=5.0)(x=-22.16,y=40.45,d=5.0)(x=-26.94,y=32.83,d=16.0)(x=-87.93,y=71.09,d=16.0)),PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)))"
0,F01860A,7.2,6.79526371097e-16,"MLTPLN(PLN((x=-662.3,y=-128.11,d=2.0)(x=-674.93,y=-153.1,d=2.0)(x=-680.42,y=-150.32,d=17.0)(x=-667.8,y=-125.33,d=17.0)),PLN((x=-674.22,y=-153.02,d=2.0)(x=-714.15,y=-179.65,d=2.0)(x=-717.57,y=-174.53,d=17.0)(x=-677.64,y=-147.89,d=17.0)))"
0,F01290A,7.1,4.85971797092e-06,"MLTPLN(PLN((x=-852.85,y=-325.26,d=3.0)(x=-886.79,y=-327.27,d=3.0)(x=-887.32,y=-318.29,d=16.0)(x=-853.38,y=-316.27,d=16.0)),PLN((x=-891.29,y=-340.27,d=3.0)(x=-866.09,y=-333.89,d=3.0)(x=-863.88,y=-342.61,d=16.0)(x=-889.08,y=-348.99,d=16.0)))"
