,code,source,proba1an
177,CIZU_3_899,ZoneEarthquake,0.000379297
178,CIZU_3_898,ZoneEarthquake,0.000379206
179,CPCF_INTER_4_3773,ZoneEarthquake,0.00839783
180,CPCF_INTER_6_3719,ZoneEarthquake,0.0112925
181,CPCF_INTER_6_3718,ZoneEarthquake,0.0108128
182,CPCF_INTRA_2_1730,ZoneEarthquake,0.00209477
183,CPCF_INTER_6_3717,ZoneEarthquake,0.00995823
184,CPCF_INTER_6_3716,ZoneEarthquake,0.00905526
185,CPCF_INTER_4_4271,ZoneEarthquake,0.00749009
186,CPCF_INTRA_7_4209,ZoneEarthquake,0.00203041
187,CPCF_INTRA_2_1735,ZoneEarthquake,0.00250704
188,CPCF_INTER_4_4270,ZoneEarthquake,0.00771966
189,CPCF_INTRA_2_1734,ZoneEarthquake,0.00251392
190,CPHL_INTER_5_2947,ZoneEarthquake,0.00439104
191,CPCF_INTER_4_5027,ZoneEarthquake,0.00606954
192,CPHL_INTER_5_2946,ZoneEarthquake,0.00426125
193,CGR5_14_6342,ZoneEarthquake,0.00135185
194,CGR5_14_6341,ZoneEarthquake,0.00150694
195,CGR5_14_6340,ZoneEarthquake,0.00160234
196,CPCF_INTRA_2_1739,ZoneEarthquake,0.00217603
197,CPHL_INTRA_4_2490,ZoneEarthquake,0.00152166
198,CPHL_INTRA_4_2491,ZoneEarthquake,0.00208742
199,CPHL_INTRA_4_2492,ZoneEarthquake,0.00276237
200,CPCF_INTRA_2_1738,ZoneEarthquake,0.00229155
201,CPHL_INTRA_4_2494,ZoneEarthquake,0.00345304
202,CPHL_INTRA_4_2495,ZoneEarthquake,0.00334034
203,CPHL_INTRA_4_2496,ZoneEarthquake,0.0030694
204,CPHL_INTRA_4_2497,ZoneEarthquake,0.00271052
205,CPHL_INTRA_4_2498,ZoneEarthquake,0.00234408
206,CGR5_15_5969,ZoneEarthquake,0.00179933
207,CGR5_25_10252,ZoneEarthquake,0.000984597
208,CPHL_INTRA_4_3549,ZoneEarthquake,0.00205188
209,CPHL_INTER_5_2941,ZoneEarthquake,0.00222489
210,CPHL_INTER_5_2940,ZoneEarthquake,0.00197707
211,CPHL_INTER_5_4198,ZoneEarthquake,0.00399633
212,CPHL_INTER_5_4199,ZoneEarthquake,0.00268558
213,CPHL_INTER_5_4196,ZoneEarthquake,0.00634675
214,CPHL_INTER_5_4197,ZoneEarthquake,0.00552087
215,CPHL_INTER_5_4194,ZoneEarthquake,0.00472599
216,CPHL_INTER_5_4195,ZoneEarthquake,0.00593865
217,CPHL_INTER_5_4192,ZoneEarthquake,0.00240746
218,CPHL_INTER_5_4193,ZoneEarthquake,0.00347426
219,CPHL_INTER_5_4190,ZoneEarthquake,0.00161373
220,CPHL_INTER_5_4191,ZoneEarthquake,0.00190653
221,CJPS_1_300,ZoneEarthquake,0.000429396
222,CJPS_1_301,ZoneEarthquake,0.000417977
223,CJPS_1_302,ZoneEarthquake,0.000415811
224,CJPS_1_303,ZoneEarthquake,0.000419732
225,CJPS_1_304,ZoneEarthquake,0.000430048
226,CJPS_1_305,ZoneEarthquake,0.000449838
227,CJPS_1_306,ZoneEarthquake,0.000482038
228,CJPS_1_307,ZoneEarthquake,0.000524838
229,CJPS_1_308,ZoneEarthquake,0.000568887
230,CJPS_1_309,ZoneEarthquake,0.000599708
231,CGR5_25_10385,ZoneEarthquake,0.000830301
232,CGR5_25_10384,ZoneEarthquake,0.000830302
233,CGR5_6_788,ZoneEarthquake,0.00021808
234,CGR5_6_789,ZoneEarthquake,0.000220037
235,CGR5_25_10381,ZoneEarthquake,0.000830872
236,CGR5_25_10380,ZoneEarthquake,0.000832652
237,CGR5_25_10383,ZoneEarthquake,0.000830314
238,CGR5_25_10382,ZoneEarthquake,0.000830403
239,CPHL_INTER_1_1432,ZoneEarthquake,0.000139196
240,CPHL_INTER_1_1433,ZoneEarthquake,0.000147727
241,CPHL_INTER_1_1430,ZoneEarthquake,0.000119821
242,CPHL_INTER_1_1431,ZoneEarthquake,0.000128524
243,CGR5_6_786,ZoneEarthquake,0.000220074
244,CGR5_6_787,ZoneEarthquake,0.000218373
245,CPHL_INTER_1_1434,ZoneEarthquake,0.000150469
246,CGR5_6_785,ZoneEarthquake,0.000222727
247,F016021,SegmentEarthquake,2.51710532776e-183
248,CGR5_7_3088,ZoneEarthquake,0.000331918
249,CGR5_7_3089,ZoneEarthquake,0.000330164
250,CPHL_INTRA_6_4616,ZoneEarthquake,0.00374503
251,CPHL_INTRA_6_4614,ZoneEarthquake,0.00447124
252,CPHL_INTRA_6_4615,ZoneEarthquake,0.00420611
253,CPHL_INTRA_6_4612,ZoneEarthquake,0.00414819
254,CPHL_INTRA_6_4613,ZoneEarthquake,0.00442809
255,CPHL_INTRA_6_4610,ZoneEarthquake,0.00357798
256,CPHL_INTRA_6_4611,ZoneEarthquake,0.00381723
257,CGR5_7_3334,ZoneEarthquake,0.000376954
258,CGR5_7_3335,ZoneEarthquake,0.000364006
259,CGR5_7_3332,ZoneEarthquake,0.000388485
260,CGR5_7_3333,ZoneEarthquake,0.000386822
261,CGR5_7_3330,ZoneEarthquake,0.000361166
262,CGR5_7_3331,ZoneEarthquake,0.000379117
263,CGR5_4_883,ZoneEarthquake,0.000212573
264,CGR5_4_882,ZoneEarthquake,0.000227684
