Code,Proba
CPCF_INTRA_3_2651,0.000517358
CPCF_INTRA_3_2658,0.000365113
CPCF_INTRA_3_2659,0.000342572
CGR5_20_8426,0.000833422
CPCF_INTRA_13_5880,0.000327459
CPHL_INTER_6_4467,0.00124553
CPHL_INTER_6_4466,0.00131714
CPHL_INTER_6_4465,0.00142402
CPHL_INTER_6_4464,0.00150743
CPHL_INTER_6_4463,0.00150455
CPHL_INTER_6_4462,0.00140398
CPHL_INTER_6_4461,0.00125049
CPHL_INTER_6_4460,0.00110167
CPHL_INTER_6_4469,0.00119529
CPHL_INTER_6_4468,0.00121621
CJPS_1_469,0.000504077
CJPS_1_468,0.000551163
CJPS_1_461,0.000460577
CJPS_1_460,0.000469485
CJPS_1_463,0.000973938
CJPS_1_462,0.000977471
CJPS_1_465,0.000849175
CJPS_1_464,0.000931478
CJPS_1_467,0.000634042
CJPS_1_466,0.000741452
CPCF_INTER_12_5764,0.00272398
CPCF_INTER_12_5765,0.00231793
CPCF_INTER_12_5766,0.00207734
CPCF_INTER_12_5760,0.00535217
CPCF_INTER_12_5761,0.00446672
CPCF_INTER_12_5762,0.00383542
CPCF_INTER_12_5763,0.00325877
CPHL_INTRA_1_1636,0.000337268
CPHL_INTRA_1_410,0.000600023
CPHL_INTRA_1_1634,0.000342048
CPCF_INTRA_13_6637,0.000337321
CPHL_INTRA_1_1635,0.000338353
CPHL_INTRA_1_414,0.000612944
CPHL_INTRA_1_415,0.000640871
CPCF_INTRA_11_2630,0.00120522
CPCF_INTRA_11_2631,0.00115029
CPCF_INTRA_11_2632,0.00111227
CGR5_25_9849,0.000872313
CGR5_25_9848,0.00116373
CPCF_INTRA_11_2633,0.0011017
CPCF_INTRA_1_268,0.00501885
CGR5_25_9841,0.000835414
CGR5_25_9840,0.000825079
CGR5_25_9843,0.000954797
CGR5_25_9842,0.00087248
CGR5_25_9845,0.00120781
CGR5_25_9844,0.00108131
CGR5_25_9847,0.00124497
CGR5_25_9846,0.00127078
CGR5_3_1470,0.000267726
CPCF_INTRA_11_2636,0.00133199
CPCF_INTRA_11_2637,0.00154452
CIZU_3_1062,0.000381066
CIZU_3_1063,0.000381066
CIZU_3_1060,0.000381066
CIZU_3_1061,0.000381066
CIZU_3_1066,0.000381066
CIZU_3_1067,0.000381066
