,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
123,124,139.604,45.098,139.6,45.1,0.000398694,0.9,5.0,1,3.0,0.0,90.0
124,125,139.704,45.098,139.7,45.1,0.000398274,0.9,5.0,1,3.0,0.0,90.0
125,126,139.804,45.098,139.8,45.1,0.000398014,0.9,5.0,1,3.0,0.0,90.0
126,127,139.904,45.098,139.9,45.1,0.000397578,0.9,5.0,1,3.0,0.0,90.0
127,128,140.004,45.098,140.0,45.1,0.000396674,0.9,5.0,1,3.0,0.0,90.0
128,129,140.104,45.098,140.1,45.1,0.000395463,0.9,5.0,1,3.0,0.0,90.0
129,130,140.204,45.098,140.2,45.1,0.000394604,0.9,5.0,1,3.0,0.0,90.0
130,131,140.304,45.098,140.3,45.1,0.00039485,0.9,5.0,1,3.0,0.0,90.0
131,132,140.404,45.098,140.4,45.1,0.00039648,0.9,5.0,1,3.0,0.0,90.0
132,133,140.504,45.098,140.5,45.1,0.000398934,0.9,5.0,1,3.0,0.0,90.0
133,134,140.604,45.098,140.6,45.1,0.000400952,0.9,5.0,1,3.0,0.0,90.0
134,135,140.704,45.098,140.7,45.1,0.00040132,0.9,5.0,1,3.0,0.0,90.0
135,136,140.804,45.098,140.8,45.1,0.000399705,0.9,5.0,1,3.0,0.0,90.0
136,137,139.404,44.998,139.4,45.0,0.000398736,0.9,5.0,1,3.0,0.0,90.0
137,138,139.504,44.998,139.5,45.0,0.000399334,0.9,5.0,1,3.0,0.0,90.0
138,139,139.604,44.998,139.6,45.0,0.000399809,0.9,5.0,1,3.0,0.0,90.0
139,140,139.704,44.998,139.7,45.0,0.000400227,0.9,5.0,1,3.0,0.0,90.0
140,141,139.804,44.998,139.8,45.0,0.000400396,0.9,5.0,1,3.0,0.0,90.0
141,142,139.904,44.998,139.9,45.0,0.000399918,0.9,5.0,1,3.0,0.0,90.0
142,143,140.004,44.998,140.0,45.0,0.000398596,0.9,5.0,1,3.0,0.0,90.0
143,144,140.104,44.998,140.1,45.0,0.000396842,0.9,5.0,1,3.0,0.0,90.0
144,145,140.204,44.998,140.2,45.0,0.000395558,0.9,5.0,1,3.0,0.0,90.0
145,146,140.304,44.998,140.3,45.0,0.00039557,0.9,5.0,1,3.0,0.0,90.0
146,147,140.404,44.998,140.4,45.0,0.00039705,0.9,5.0,1,3.0,0.0,90.0
147,148,140.504,44.998,140.5,45.0,0.000399309,0.9,5.0,1,3.0,0.0,90.0
