Code,Name,ProcessType,Process,MagnitudeType,Magnitude,ShapeType,Shape
F013003,Futagawa fault zone (Uto-hanto-hokugan segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((130.637 32.748, 130.3529954834522 32.5874904873277, 130.3052847046851 32.64720632582084, 130.5892892212329 32.80771583849314, 130.637 32.748)))"
F013002,Futagawa fault zone (Uto segment),PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.46)",MultiPlaneShape,"MULTIPOLYGON (((130.831 32.78, 130.6209515336494 32.69079353892759, 130.5823685826624 32.75501127586124, 130.792417049013 32.84421773693365, 130.831 32.78)))"
F007303,Hanaore fault zone/Central southern segment,BrownianPTProcess,"BPT(mu=4200.0,t0=2800.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((135.867 35.183, 135.7751432234617 34.99994656025493, 135.7719451022291 35.00101858413029, 135.8638018787674 35.18407202387536, 135.867 35.183)), ((135.825 34.89, 135.8091008463308 35.03329925706764, 135.9354343704055 35.04272985812269, 135.9513335240747 34.89943060105506, 135.825 34.89)))"
F004501,Kiso-sanmyaku-seien fault zone (Main part/Northern segment),BrownianPTProcess,"BPT(mu=6400.0,t0=817.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.85)",MultiPlaneShape,"MULTIPOLYGON (((137.6 35.583, 137.7083172079698 35.67295570046854, 137.7105233894254 35.67119866937276, 137.6022061814556 35.58124296890423, 137.6 35.583)), ((137.725 35.676, 137.8418568135979 35.9285455694749, 137.9847513033592 35.88491521456998, 137.8678944897613 35.63236964509508, 137.725 35.676)))"
F007301,Mikata fault zone,BrownianPTProcess,"BPT(mu=3800.0,t0=355.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((135.907 35.441, 135.8892081380262 35.69239250241648, 135.9883903919186 35.69705167400164, 136.0061822538924 35.44565917158516, 135.907 35.441)))"
F004503,Seinaiji toge fault zone,PoissonProcess,P(lmbd=0.0),GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.77)",MultiPlaneShape,"MULTIPOLYGON (((137.617 35.383, 137.7098649935759 35.71624969566339, 137.7128686210331 35.71569333151366, 137.6200036274572 35.38244363585028, 137.617 35.383)))"
F017401,Nichinan-ko fault,BrownianPTProcess,"BPT(mu=20000.0,t0=90000.0,alph=0.24)",CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MULTIPOLYGON (((133.276 35.277, 133.3915242606646 35.13451300803568, 133.3891194368329 35.13321358338303, 133.2735951761683 35.27570057534735, 133.276 35.277)))"
F018901,Akinada fault zone,BrownianPTProcess,"BPT(mu=2300.0,t0=5600.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,b_val=0.9,max=6.7)",MultiPlaneShape,"MULTIPOLYGON (((132.422 34.13, 132.1876057438375 33.96949023348866, 132.1449712196518 34.0121500835219, 132.3793654758143 34.17265985003323, 132.422 34.13)))"
F01300E,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment),MultiSegmentProcess,"MULTI(F013001,F013101)",CharacteristicMag,CHAR(mag=6.8),MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)), ((130.819 32.763, 130.7357696242403 32.59731161234355, 130.7333625233107 32.59816665216885, 130.8165928990704 32.7638550398253, 130.819 32.763)))"
F01300D,Futagawa fault zone (Uto segment/Uto-hanto-hokugan segment),MultiSegmentProcess,"MULTI(F013002,F013003)",CharacteristicMag,CHAR(mag=7.0),MultiPlaneShape,"MULTIPOLYGON (((130.831 32.78, 130.6209515336494 32.69079353892759, 130.5823685826624 32.75501127586124, 130.792417049013 32.84421773693365, 130.831 32.78)), ((130.637 32.748, 130.3529954834522 32.5874904873277, 130.3052847046851 32.64720632582084, 130.5892892212329 32.80771583849314, 130.637 32.748)))"
F01300F,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment/Hinagu segment),MultiSegmentProcess,"MULTI(F013001,F013101,F013102)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MULTIPOLYGON (((131.027 32.888, 130.8211868105968 32.75870843249594, 130.8196193291707 32.76046791610337, 131.0254325185739 32.88975948360743, 131.027 32.888)), ((130.819 32.763, 130.7357696242403 32.59731161234355, 130.7333625233107 32.59816665216885, 130.8165928990704 32.7638550398253, 130.819 32.763)), ((130.751 32.653, 130.457787890903 32.34375117162181, 130.3910059881626 32.38863664368682, 130.6842180972596 32.69788547206501, 130.751 32.653)))"
