Code,Process,Multi,AvrAct,LastAct,Alpha,Desc,Name
F008001,BrownianPassageTime,BPT,8000,28000,0.24,"BPT(mu=8000.0,t0=28000.0,alph=0.24)",Uemachi fault zone
F008101,BrownianPassageTime,BPT,2000,2017,0.24,"BPT(mu=2000.0,t0=2017.0,alph=0.24)",Chuo-kozosen fault zone (Kongo-sanchi-toen)
F008102,BrownianPassageTime,BPT,4000,3100,0.24,"BPT(mu=4000.0,t0=3100.0,alph=0.24)",Chuo-kozosen fault zone (Kitan-kaikyo-Naruto-Kaikyo)
F008103,BrownianPassageTime,BPT,1000,517,0.24,"BPT(mu=1000.0,t0=517.0,alph=0.24)",Chuo-kozosen fault zone (Sanuki-sanmyaku-nanen- Ishizuchi-sanmyaku-hokuen-tobu)
F008104,BrownianPassageTime,BPT,1000,517,0.24,"BPT(mu=1000.0,t0=517.0,alph=0.24)",Chuo-kozosen fault zone (Ishizuchi-sanmyaku-hokuen)
F008105,BrownianPassageTime,BPT,1000,517,0.24,"BPT(mu=1000.0,t0=517.0,alph=0.24)",Chuo-kozosen fault zone (Ishizuchi-sanmyaku-hokuen-seibu- Iyonada)
F008106,BrownianPassageTime,BPT,1100,1417,0.24,"BPT(mu=1100.0,t0=1417.0,alph=0.24)",Chuo-kozosen fault zone (Izumi-sanmyaku-nanen)
F008204,BrownianPassageTime,BPT,6500,1717,0.24,"BPT(mu=6500.0,t0=1717.0,alph=0.24)",Kusatani fault
F008401,BrownianPassageTime,BPT,30000,1217,0.24,"BPT(mu=30000.0,t0=1217.0,alph=0.24)",Nagao fault zone
F009701,BrownianPassageTime,BPT,10000,1017,0.24,"BPT(mu=10000.0,t0=1017.0,alph=0.24)",Ise-wan fault zone (Main part/Northern segment)
F009702,BrownianPassageTime,BPT,5000,2017,0.24,"BPT(mu=5000.0,t0=2017.0,alph=0.24)",Ise-wan fault zone (Main part/Southern segment)
F009703,BrownianPassageTime,BPT,8000,6500,0.24,"BPT(mu=8000.0,t0=6500.0,alph=0.24)",Shirako-Noma fault
F009801,BrownianPassageTime,BPT,3000,1217,0.24,"BPT(mu=3000.0,t0=1217.0,alph=0.24)",Osaka-wan fault zone
F009901,BrownianPassageTime,BPT,4000,5100,0.24,"BPT(mu=4000.0,t0=5100.0,alph=0.24)",Sarobetsu fault zone
F010101,Poisson,POI,3000,,,P(lmbd=3000.0),Hanawa-higashi fault zone
F010201,BrownianPassageTime,BPT,2200,266,0.24,"BPT(mu=2200.0,t0=266.0,alph=0.24)",Takada-heiya-seien fault zone
F010202,BrownianPassageTime,BPT,2300,3500,0.24,"BPT(mu=2300.0,t0=3500.0,alph=0.24)",Takada-heiya-toen fault zone
F010302,BrownianPassageTime,BPT,6200,2900,0.24,"BPT(mu=6200.0,t0=2900.0,alph=0.24)",Muikamachi fault zone (Southern part)
F010335,Poisson,POI,3200,,,P(lmbd=3200.0),Muikamachi fault zone (Northern part) Case 1
F010336,BrownianPassageTime,BPT,3200,13,0.24,"BPT(mu=3200.0,t0=13.0,alph=0.24)",Muikamachi fault zone (Northern part) Case 2
F010501,Poisson,POI,8000,,,P(lmbd=8000.0),Uozu fault zone
F011001,Poisson,POI,47300,,,P(lmbd=47300.0),Miyako-jima fault zone (Central part)
F011002,Poisson,POI,28700,,,P(lmbd=28700.0),Miyako-jima fault zone (Western part)
F012001,BrownianPassageTime,BPT,6700,4600,0.24,"BPT(mu=6700.0,t0=4600.0,alph=0.24)",Kokura-higashi fault zone
F012101,BrownianPassageTime,BPT,9400,28000,0.24,"BPT(mu=9400.0,t0=28000.0,alph=0.24)",Fukuchiyama fault zone
F012201,BrownianPassageTime,BSI,8000,20000,0.24,"BPT(mu=8000.0,t0=20000.0,alph=0.24)",Nishiyama fault zone (Oshima-Oki segment)
F012202,BrownianPassageTime,BSI,8000,13000,0.24,"BPT(mu=8000.0,t0=13000.0,alph=0.24)",Nishiyama fault zone (Nishiyama segment)
F012203,Poisson,PSI,6000,,,P(lmbd=6000.0),Nishiyama fault zone (Kama-toge segment)
F01220B,Multi,SIM,-,-,0.0,multi,Nishiyama fault zone (Oshima-Oki segment/Nishiyama segment)
F01220C,Multi,SIM,-,-,0.0,multi,Nishiyama fault zone (Nishiyama segment/Kama-toge segment)
F01220A,Multi,SIM,-,-,0.0,multi,Nishiyama fault zone (All segment)
F012301,BrownianPassageTime,BPT,20000,4500,0.24,"BPT(mu=20000.0,t0=4500.0,alph=0.24)",Umi fault
F012401,BrownianPassageTime,BSI,3100,12,0.24,"BPT(mu=3100.0,t0=12.0,alph=0.24)",Kego fault zone (Northwestern segment)
F012402,BrownianPassageTime,BSI,3100,4300,0.24,"BPT(mu=3100.0,t0=4300.0,alph=0.24)",Kego fault zone (Southeastern segment)
F01240A,Multi,SIM,-,-,0.0,multi,Kego fault zone (All segment)
F012501,Poisson,POI,30000,,,P(lmbd=30000.0),Hinata-Okasagi-toge fault zone
F012601,BrownianPassageTime,BPT,14000,1338,0.24,"BPT(mu=14000.0,t0=1338.0,alph=0.24)",Minou fault zone
F012701,Poisson,POI,6600,,,P(lmbd=6600.0),Saga-heiya-hokuen fault zone
F012801,BrownianPassageTime,BSI,1300,421,0.24,"BPT(mu=1300.0,t0=421.0,alph=0.24)",Beppu-wan-Hijiu fault zone/Eastern segment
F012802,BrownianPassageTime,BSI,13000,7300,0.24,"BPT(mu=13000.0,t0=7300.0,alph=0.24)",Beppu-wan-Hijiu fault zone/Western segment
F012803,BrownianPassageTime,BSI,2300,2200,0.24,"BPT(mu=2300.0,t0=2200.0,alph=0.24)",Oita-heiya-Yufuin fault zone/Eastern segment
F012804,Poisson,PSI,700,,,P(lmbd=700.0),Oita-heiya-Yufuin fault zone part/Western segment
F012805,BrownianPassageTime,BPT,4000,3900,0.24,"BPT(mu=4000.0,t0=3900.0,alph=0.24)",Noinedake-Haneyama fault zone
F012806,BrownianPassageTime,BPT,4300,817,0.24,"BPT(mu=4300.0,t0=817.0,alph=0.24)",Kuenohirayama-Kameishiyama fault zone
F01280A,Multi,SIM,-,-,0.0,multi,Beppu-wan-Hijiu fault zone (All segment)
F01280B,Multi,SIM,-,-,0.0,multi,Oita-heiya-Yufuin fault zone (All segment)
F012901,BrownianPassageTime,BPT,2000,5000,0.24,"BPT(mu=2000.0,t0=5000.0,alph=0.24)",Unzen fault group (Northern part)
F012902,Poisson,POI,1000,,,P(lmbd=1000.0),Unzen fault group (Southeastern part)
F012903,BrownianPassageTime,BSI,2500,2400,0.24,"BPT(mu=2500.0,t0=2400.0,alph=0.24)",Unzen fault group (Southwestern part/Northern segment)
F012904,BrownianPassageTime,BSI,2100,4500,0.24,"BPT(mu=2100.0,t0=4500.0,alph=0.24)",Unzen fault group (Southwestern part/Southern segment)
F01290A,Multi,SIM,-,-,0.0,multi,Unzen fault group (Southwestern part Northern/Southern segment)
F013001,BrownianPassageTime,BSI,8100,1,0.24,"BPT(mu=8100.0,t0=1.0,alph=0.24)",Futagawa fault zone (Futagawa segment)
F013002,Poisson,PSI,4000,,,P(lmbd=4000.0),Futagawa fault zone (Uto segment)
F013003,Poisson,PSI,6000,,,P(lmbd=6000.0),Futagawa fault zone (Uto-hanto-hokugan segment)
F013101,BrownianPassageTime,BSI,3600,1617,0.24,"BPT(mu=3600.0,t0=1617.0,alph=0.24)",Hinagu fault zone (Takano-Shirahata segment)
F013102,BrownianPassageTime,BSI,3600,8400,0.24,"BPT(mu=3600.0,t0=8400.0,alph=0.24)",Hinagu fault zone (Hinagu segment)
F013103,BrownianPassageTime,BSI,1100,1717,0.24,"BPT(mu=1100.0,t0=1717.0,alph=0.24)",Hinagu fault zone (Yatsushirokai segment)
F01300C,Multi,SIM,-,-,0.0,multi,Futagawa fault zone (Futagawa segment/Uto segment)
F01300D,Multi,SIM,-,-,0.0,multi,Futagawa fault zone (Uto segment/Uto-hanto-hokugan segment)
F01300E,Multi,SIM,-,-,0.0,multi,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment)
F01310B,Multi,SIM,-,-,0.0,multi,Hinagu fault zone (Takano-Shirahata segment/Hinagu segment)
F01310C,Multi,SIM,-,-,0.0,multi,Hinagu fault zone (Hinagu segment/Yatsushirokai segment)
F01300A,Multi,SIM,-,-,0.0,multi,Futagawa fault zone (All segment)
F01300F,Multi,SIM,-,-,0.0,multi,Futagawa/Hinagu fault zone (Futagawa segment/Takano-Shirahata segment/Hinagu segment)
F01310A,Multi,SIM,-,-,0.0,multi,Hinagu fault zone (All segment)
F01300B,Multi,SIM,-,-,0.0,multi,Futagawa/Hinagu fault zone (Futagawa segment/all segment of Hinagu fault zone)
F013201,Poisson,POI,34000,,,P(lmbd=34000.0),Midorikawa fault zone
F013301,BrownianPassageTime,BPT,8000,7300,0.24,"BPT(mu=8000.0,t0=7300.0,alph=0.24)",Hitoyoshi-bonchi-nanen fault zone
F013401,BrownianPassageTime,BPT,8000,7300,0.24,"BPT(mu=8000.0,t0=7300.0,alph=0.24)",Izumi fault zone
F013501,Poisson,POI,20000,,,P(lmbd=20000.0),Koshiki fault zone (Kamikoshiki-jima northeastern segment)
F013502,Poisson,POI,2400,,,P(lmbd=2400.0),Koshiki fault zone (Koshiki segment)
F013601,Poisson,POI,64000,,,P(lmbd=64000.0),Ichiki fault zone (Ichiki segment)
F013602,Poisson,POI,85000,,,P(lmbd=85000.0),Ichiki fault zone (Koshiki-kaikyo center segment)
F013603,Poisson,POI,43000,,,P(lmbd=43000.0),Ichiki fault zone (Fukiagehama seiho-Oki segment)
F014121,BrownianPassageTime,BPT,2600,717,0.24,"BPT(mu=2600.0,t0=717.0,alph=0.24)",Sekiya fault
F014221,Poisson,POI,2400,,,P(lmbd=2400.0),Uchinokomori fault
F014321,Poisson,POI,5200,,,P(lmbd=5200.0),Katashinagawa-sagan fault
F014421,Poisson,POI,5000,,,P(lmbd=5000.0),Okubo fault
F014521,Poisson,POI,5700,,,P(lmbd=5700.0),Ota fault
