#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_AETRF,   1
AETRF,-8.1, 25.0, 484,Etorofuto-Oki Earthquake
 213,150.826, 45.791,150.821, 45.793, 53.4
 214,151.270, 45.484,151.265, 45.487, 27.1
 215,151.209, 45.543,151.204, 45.545, 30.9
 216,151.149, 45.601,151.144, 45.603, 34.8
 217,151.088, 45.659,151.083, 45.661, 38.7
 218,151.027, 45.717,151.022, 45.719, 43.1
 219,150.967, 45.775,150.962, 45.777, 47.8
 220,150.906, 45.833,150.901, 45.835, 53.1
 221,151.350, 45.527,151.345, 45.530, 26.8
 222,151.290, 45.586,151.285, 45.588, 30.7
 223,151.229, 45.644,151.224, 45.646, 34.7
 224,151.168, 45.702,151.163, 45.704, 38.7
 225,151.108, 45.760,151.103, 45.762, 43.0
 226,151.047, 45.818,151.042, 45.820, 47.5
 227,150.986, 45.876,150.981, 45.878, 52.4
 228,151.431, 45.571,151.426, 45.573, 26.8
 229,151.370, 45.629,151.365, 45.631, 30.6
 230,151.310, 45.687,151.305, 45.689, 34.6
 231,151.249, 45.745,151.244, 45.747, 38.6
 232,151.188, 45.803,151.183, 45.805, 42.9
 233,151.127, 45.861,151.122, 45.863, 47.3
 234,151.512, 45.613,151.507, 45.615, 26.8
 235,151.451, 45.671,151.446, 45.673, 30.5
 236,151.390, 45.729,151.385, 45.731, 34.4
 237,151.329, 45.787,151.324, 45.789, 38.5
 238,151.269, 45.845,151.264, 45.847, 42.7
 239,151.208, 45.903,151.203, 45.905, 47.1
 240,151.592, 45.656,151.587, 45.658, 26.5
 241,151.531, 45.714,151.526, 45.716, 30.4
 242,151.471, 45.772,151.466, 45.774, 34.3
 243,151.410, 45.830,151.405, 45.832, 38.3
 244,151.349, 45.888,151.344, 45.890, 42.5
 245,151.673, 45.699,151.668, 45.701, 26.3
 246,151.612, 45.757,151.607, 45.759, 30.2
 247,151.551, 45.815,151.546, 45.817, 34.2
 248,151.490, 45.873,151.485, 45.875, 38.3
 249,151.429, 45.931,151.424, 45.933, 42.4
 250,151.753, 45.741,151.748, 45.743, 26.2
 251,151.692, 45.799,151.687, 45.801, 30.1
 252,151.632, 45.857,151.627, 45.859, 34.1
 253,151.571, 45.915,151.566, 45.917, 38.2
 254,151.834, 45.784,151.829, 45.786, 26.3
