#,,,,,,,
# VER. = 1.0,,,,,,,
#,,,,,,,
# DATE = 2017-04-12,,,,,,,
#,,,,,,,
# UPDATED,,,,,,,
#,,,,,,,
# EPOCH = 2017-01-01,,,,,,,
# CODE,PROC,AVRACT,NEWACT,ALPHA,P_T30,P_T50,NAME
G030152,POI,86100,-,0,3.48E-04,5.81E-04,Sukumo-Nakamura fault zone
G030153,POI,33100,-,0,9.06E-04,1.51E-03,Tosashimizu-kita fault zone
G030172,POI,5600,-,0,5.34E-03,8.89E-03,Tanega-shima-hokubu fault
G030173,POI,4800,-,0,6.23E-03,1.04E-02,Yaku-shima-nangan fault zone
G030174,POI,1100,-,0,2.69E-02,4.44E-02,Kikai-jima fault zone
G030175,POI,4100,-,0,7.29E-03,1.21E-02,Okinoerabu-jima fault zone
G030176,POI,3500,-,0,8.53E-03,1.42E-02,Kinwan-segan fault zone
G030178,POI,3500,-,0,8.53E-03,1.42E-02,Yonaguni-jima fault zone
G030180,POI,39700,-,0,7.55E-04,1.26E-03,Ube-toubu-Shimosato fault
G030181,POI,53000,-,0,5.66E-04,9.43E-04,Ube-nantou-oki fault zone
G030182,POI,59600,-,0,5.03E-04,8.39E-04,Hime-jima-hokusei-oki fault zone
G030183,POI,15000,-,0,2.00E-03,3.33E-03,Itoshima-hanto-Oki fault group
G030184,POI,32000,-,0,9.37E-04,1.56E-03,Saganoseki fault
G030185,POI,32000,-,0,9.37E-04,1.56E-03,Taradake-nanseiroku fault zone
G030186,POI,63000,-,0,4.76E-04,7.93E-04,Fukuragi fault
G030187,POI,38000,-,0,7.89E-04,1.31E-03,Aso-gairin-nanroku fault group
G030188,POI,63000,-,0,4.76E-04,7.93E-04,Tsurukiba fault zone
G030189,POI,63000,-,0,4.76E-04,7.93E-04,Kunimidake fault zone
G030190,POI,32000,-,0,9.37E-04,1.56E-03,Minamata fault zone
G030191,POI,5800,-,0,5.16E-03,8.58E-03,Kagoshimawan-toen fault zone
G030192,POI,63000,-,0,4.76E-04,7.93E-04,Kagoshimawan-seien fault zone
G030193,POI,1500,-,0,1.98E-02,3.28E-02,Ikedako-nishi fault zone
