#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_A98F, 260
F000101,-7.1,   1,Shibetsu fault zone
F001001,-6.4,   1,Tsugaru-sanchi-seien fault zone (Northern part)
   1,140.607, 40.698,140.603, 40.701,  3.0, 18.0, 18.0,339.2, 45.0
F001002,-6.6,   1,Tsugaru-sanchi-seien fault zone (Southern part)
   1,140.659, 40.556,140.655, 40.559,  3.0, 24.0, 18.0,  6.7, 45.0
F001101,-7.0,   1,Oritsume fault
   1,141.246, 40.496,141.242, 40.499,  2.0, 48.0, 18.0,162.3, 45.0
F001201,-6.6,   1,Noshiro fault zone
   1,140.002, 40.075,139.999, 40.078,  3.0, 24.0, 18.0,  7.3, 45.0
F001301,-7.2,   1,Kitakami-teichi-seien fault zone
   1,141.056, 39.633,141.052, 39.636,  3.0, 64.0, 18.0,182.7, 35.0
F001401,-6.4,   1,Shizukuishi-bonchi-seien fault zone
   1,140.932, 39.806,140.928, 39.809,  2.0, 18.0, 18.0,189.7, 45.0
F001402,-6.6,   1,Mahiru-sanchi-toen fault zone/Northern segment
   1,140.803, 39.616,140.799, 39.619,  3.0, 22.0, 18.0,208.5, 40.0
F001403,-6.4,   1,Mahiru-sanchi-toen fault zone/Southern segment
   1,140.665, 39.434,140.662, 39.437,  3.0, 18.0, 18.0,184.4, 45.0
F001501,-6.7,   1,Yokote-bonchi-toen fault zone (Northern segment)
   1,140.641, 39.364,140.638, 39.367,  3.0, 28.0, 18.0, 12.5, 25.0
F001502,-6.8,   1,Yokote-bonchi-toen fault zone (Southern segment)
   1,140.622, 39.102,140.619, 39.105,  3.0, 32.0, 18.0,357.2, 45.0
F001601,-6.8,   1,Kitayuri fault
   1,140.055, 39.388,140.052, 39.391,  3.0, 32.0, 18.0,  0.0, 45.0
F001701,-6.6,   1,Shinjo-bonchi fault zone (Eastern part)
   1,140.349, 38.617,140.346, 38.620,  3.0, 24.0, 18.0, 19.6, 35.0
F001702,-6.4,   1,Shinjo-bonchi fault zone (Western part)
   1,140.185, 38.828,140.182, 38.831,  3.0, 18.0, 18.0,175.0, 45.0
F001801,-6.8,   1,Yamagata-bonchi fault zone (Northern segment)
   1,140.335, 38.673,140.332, 38.676,  4.0, 30.0, 18.0,196.0, 45.0
F001802,-6.8,   1,Yamagata-bonchi fault zone (Southern segment)
   1,140.239, 38.406,140.236, 38.409,  4.0, 32.0, 18.0,184.0, 45.0
F001901,-6.6,   1,Shonai-heiya-toen fault zone (Northern part)
   1,140.009, 38.844,140.006, 38.847,  3.0, 26.0, 18.0,355.0, 30.0
F001902,-6.4,   1,Shonai-heiya-toen fault zone (Southern part)
   1,139.997, 38.714,139.994, 38.717,  3.0, 20.0, 18.0,  4.8, 45.0
F002001,-6.9,   1,Nagamachi-Rifu-sen fault zone
   1,141.030, 38.401,141.027, 38.404,  3.0, 42.0, 18.0,231.9, 40.0
F002101,-7.1,   1,Fukushima-bonchi-seien fault zone
   1,140.682, 38.140,140.679, 38.143,  2.0, 60.0, 18.0,212.6, 45.0
F002201,-7.1,   1,Nagai-bonchi-seien fault zone
   1,140.133, 38.320,140.130, 38.323,  2.0, 54.0, 18.0,186.7, 45.0
F002301,-6.9,   1,Futaba fault
   1,140.904, 37.655,140.901, 37.658,  2.0, 42.0, 18.0,353.5, 90.0
F002401,-6.8,   1,Aizu-bonchi-seien fault zone
   1,139.850, 37.726,139.847, 37.729,  2.0, 36.0, 18.0,192.5, 45.0
F002402,-7.0,   1,Aizu-bonchi-toen fault zone
   1,139.857, 37.206,139.854, 37.209,  2.0, 50.0, 18.0, 12.1, 45.0
F002501,-6.4,   1,Kushigata-sanmyaku fault zone
   1,139.441, 38.146,139.438, 38.149,  3.0, 18.0, 18.0,206.3, 45.0
F002601,-6.8,   1,Tsukioka fault zone
   1,139.303, 37.933,139.300, 37.936,  3.0, 32.0, 18.0,200.3, 55.0
F002701,-7.5,   1,Nagaoka-heiya-seien fault zone
   1,138.822, 38.050,138.819, 38.053,  6.0, 84.0, 24.0,185.0, 55.0
F003901,-6.8,   1,Tokamachi fault zone (Western part)
   1,138.728, 37.264,138.725, 37.267,  5.0, 34.0, 18.0,210.4, 45.0
F003902,-6.5,   1,Tokamachi fault zone (Eastern part)
   1,138.701, 37.043,138.698, 37.046,  5.0, 20.0, 20.0, 24.0, 45.0
F004501,-6.9,   2,Kiso-sanmyaku-seien fault zone (Main part/Northern segment)
   1,137.603, 35.580,137.600, 35.583,  2.0, 14.0, 16.0, 44.4, 90.0
   2,137.728, 35.673,137.725, 35.676,  2.0, 30.0, 18.0, 20.6, 40.0
