#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ASKTN,   1
ASKTN,-7.8, 25.0, 262,Shikotanto-Oki Earthquake
 156,147.745, 43.460,147.741, 43.463, 20.5
 157,147.810, 43.406,147.806, 43.409, 18.5
 158,147.876, 43.352,147.872, 43.355, 17.1
 159,147.942, 43.298,147.938, 43.301, 15.9
 160,148.007, 43.245,148.003, 43.248, 14.7
 161,148.073, 43.191,148.069, 43.194, 13.6
 162,148.139, 43.137,148.135, 43.140, 12.5
 163,147.818, 43.508,147.814, 43.511, 20.3
 164,147.884, 43.454,147.880, 43.457, 18.5
 165,147.949, 43.400,147.945, 43.403, 17.2
 166,148.015, 43.346,148.011, 43.349, 16.0
 167,148.081, 43.292,148.077, 43.295, 14.9
 168,148.147, 43.239,148.143, 43.242, 13.7
 169,148.212, 43.185,148.208, 43.188, 12.5
 170,147.891, 43.556,147.887, 43.559, 20.8
 171,147.957, 43.502,147.953, 43.505, 19.0
 172,148.023, 43.448,148.019, 43.451, 17.5
 173,148.089, 43.394,148.085, 43.397, 16.2
 174,148.155, 43.340,148.151, 43.343, 15.0
 175,148.220, 43.286,148.216, 43.289, 13.8
 176,148.286, 43.233,148.282, 43.236, 12.6
 177,147.965, 43.603,147.961, 43.606, 21.5
 178,148.031, 43.550,148.027, 43.553, 19.5
 179,148.097, 43.496,148.093, 43.499, 17.8
 180,148.162, 43.442,148.158, 43.445, 16.4
 181,148.228, 43.388,148.224, 43.391, 15.1
 182,148.294, 43.334,148.290, 43.337, 13.9
 183,148.360, 43.280,148.356, 43.283, 12.7
 184,148.426, 43.227,148.422, 43.230, 11.5
 185,148.038, 43.651,148.034, 43.654, 21.9
 186,148.104, 43.597,148.100, 43.600, 19.7
 187,148.170, 43.544,148.166, 43.547, 18.0
 188,148.236, 43.490,148.232, 43.493, 16.5
 189,148.302, 43.436,148.298, 43.439, 15.2
 190,148.368, 43.382,148.364, 43.385, 13.9
 191,148.434, 43.328,148.430, 43.331, 12.7
 192,148.500, 43.274,148.496, 43.277, 11.5
 193,148.112, 43.699,148.108, 43.702, 21.9
 194,148.178, 43.645,148.174, 43.648, 19.7
 195,148.244, 43.591,148.240, 43.594, 17.9
 196,148.310, 43.538,148.306, 43.541, 16.5
 197,148.376, 43.484,148.372, 43.487, 15.3
 198,148.442, 43.430,148.438, 43.433, 14.0
 199,148.508, 43.376,148.504, 43.379, 12.8
 200,148.573, 43.322,148.569, 43.325, 11.6
 201,148.185, 43.747,148.181, 43.750, 21.7
 202,148.251, 43.693,148.247, 43.696, 19.4
 203,148.317, 43.639,148.313, 43.642, 18.0
 204,148.383, 43.585,148.379, 43.588, 16.6
 205,148.449, 43.532,148.445, 43.535, 15.4
 206,148.515, 43.478,148.511, 43.481, 14.1
 207,148.581, 43.424,148.577, 43.427, 12.9
 208,148.647, 43.370,148.643, 43.373, 11.6
 209,148.259, 43.795,148.255, 43.798, 21.9
 210,148.325, 43.741,148.321, 43.744, 19.7
 211,148.391, 43.687,148.387, 43.690, 18.2
 212,148.457, 43.633,148.453, 43.636, 16.8
 213,148.523, 43.579,148.519, 43.582, 15.5
 214,148.589, 43.526,148.585, 43.529, 14.2
 215,148.655, 43.472,148.651, 43.475, 12.9
 216,148.721, 43.418,148.717, 43.421, 11.7
 217,148.332, 43.843,148.328, 43.846, 22.6
 218,148.398, 43.789,148.394, 43.792, 20.3
 219,148.465, 43.735,148.461, 43.738, 18.5
 220,148.531, 43.681,148.527, 43.684, 17.0
 221,148.597, 43.627,148.593, 43.630, 15.6
 222,148.663, 43.573,148.659, 43.576, 14.3
 223,148.729, 43.520,148.725, 43.523, 13.0
 224,148.406, 43.890,148.402, 43.893, 23.1
 225,148.472, 43.837,148.468, 43.840, 20.7
 226,148.538, 43.783,148.534, 43.786, 18.7
 227,148.604, 43.729,148.600, 43.732, 17.1
 228,148.670, 43.675,148.666, 43.678, 15.7
 229,148.737, 43.621,148.733, 43.624, 14.4
 230,148.803, 43.567,148.799, 43.570, 13.1
 231,148.479, 43.938,148.475, 43.941, 23.5
 232,148.545, 43.884,148.541, 43.887, 20.7
 233,148.612, 43.831,148.608, 43.834, 18.7
 234,148.678, 43.777,148.674, 43.780, 17.3
 235,148.744, 43.723,148.740, 43.726, 15.9
 236,148.810, 43.669,148.806, 43.672, 14.6
 237,148.876, 43.615,148.872, 43.618, 13.2
 238,148.553, 43.986,148.549, 43.989, 23.8
 239,148.619, 43.932,148.615, 43.935, 21.0
 240,148.685, 43.878,148.681, 43.881, 19.1
 241,148.752, 43.825,148.748, 43.828, 17.6
 242,148.818, 43.771,148.814, 43.774, 16.2
 243,148.884, 43.717,148.880, 43.720, 14.7
 244,148.950, 43.663,148.946, 43.666, 13.4
 245,148.626, 44.034,148.622, 44.037, 24.4
 246,148.693, 43.980,148.689, 43.983, 21.8
 247,148.759, 43.926,148.755, 43.929, 19.7
 248,148.825, 43.872,148.821, 43.875, 18.0
 249,148.891, 43.819,148.887, 43.822, 16.4
 250,148.958, 43.765,148.954, 43.768, 14.9
 251,148.700, 44.082,148.696, 44.085, 25.0
 252,148.766, 44.028,148.762, 44.031, 22.4
 253,148.832, 43.974,148.828, 43.977, 20.1
 254,148.899, 43.920,148.895, 43.923, 18.2
 255,148.965, 43.866,148.961, 43.869, 16.5
 256,149.032, 43.813,149.028, 43.816, 15.0
 257,148.773, 44.129,148.769, 44.132, 25.4
 258,148.840, 44.076,148.836, 44.079, 22.7
 259,148.906, 44.022,148.902, 44.025, 20.2
 260,148.972, 43.968,148.968, 43.971, 18.2
 261,149.039, 43.914,149.035, 43.917, 16.6
 262,148.913, 44.123,148.909, 44.126, 22.8
