#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AGR1, 151
G030001, 6.6,   1,Rausu-dake fault zone
   2,138.443, 34.992,138.440, 34.995,  3.0,  6.6, 12.0, 42.5, 90.0
G030073, 6.7,   1,Hatanagi-san fault
   1,138.213, 35.437,138.210, 35.440,  3.0, 13.1, 13.0,206.6, 90.0
G030074, 7.7,   1,Chuo-kozosen-Akaishi-sanchi-seien fault zone
   1,138.039, 35.532,138.036, 35.535,  3.0, 51.7, 15.0,201.5, 90.0
G030075, 7.2,   1,Shimoina-ryuto fault zone
   1,137.970, 35.576,137.967, 35.579,  3.0, 27.3, 15.0,204.9, 90.0
G030076, 7.0,   1,Hiraoka fault
   1,137.943, 35.322,137.940, 35.325,  3.0, 20.4, 15.0,237.8, 90.0
G030078, 6.5,   1,Suzugasawa fault
   1,137.679, 35.322,137.676, 35.325,  3.0,  9.6, 10.0,118.5, 90.0
G030079, 6.5,   1,Shirosu-toge fault zone
   1,137.459, 35.797,137.456, 35.800,  3.0, 10.2, 10.0,220.4, 90.0
G030080, 6.7,   1,Wakatochi-toge fault
   1,137.374, 35.892,137.371, 35.895,  3.0, 14.2, 14.0,206.8, 90.0
G030081, 6.8,   1,Kuno-gawa fault
   1,137.175, 35.669,137.172, 35.672,  3.0, 15.1, 15.0, 50.2, 90.0
G030082, 6.8,   1,Furukawa fault zone (Toichi-gawa fault)
   1,137.005, 36.164,137.002, 36.167,  3.0, 16.4, 15.0, 48.4, 90.0
G030083, 7.0,   1,Kuchiudo-Yamanokuchi fault
   1,137.208, 35.954,137.205, 35.957,  3.0, 20.0, 15.0, 48.6, 90.0
G030084, 6.8,   2,Byobu-yama fault nanseibu
   1,137.286, 35.331,137.283, 35.334,  3.0,  5.7, 15.0, 37.2, 90.0
   2,137.324, 35.372,137.321, 35.375,  3.0, 10.4, 15.0, 55.4, 90.0
G030085, 6.8,   1,Kasahara fault
   1,137.250, 35.296,137.247, 35.299,  3.0, 16.3, 15.0,254.7, 90.0
G030086, 6.5,   2,Hanadate fault
   1,137.033, 35.375,137.030, 35.378,  3.0,  3.6, 10.0,112.3, 90.0
   2,137.069, 35.363,137.066, 35.366,  3.0,  6.7, 10.0,150.1, 90.0
G030087, 6.6,   2,Fukozu fault zone
   1,137.103, 34.822,137.100, 34.825,  3.0,  7.4, 11.0, 88.7, 90.0
   2,137.184, 34.824,137.181, 34.827,  3.0,  3.4, 11.0,166.7, 90.0
G030088, 6.6,   1,Nagoyashi-fukin fault
   1,136.903, 35.180,136.900, 35.183,  3.0, 10.9, 11.0,162.5, 90.0
G030089, 6.7,   1,Tenpaku-kako fault
   1,136.943, 35.068,136.940, 35.071,  3.0, 12.7, 13.0,239.8, 90.0
G030090, 6.9,   1,Bijo-zan fault zone
   1,136.954, 37.010,136.951, 37.013,  3.0, 17.0, 15.0,233.9, 90.0
G030091, 6.8,   2,Tanigumi-Kochibora fault
   1,136.705, 35.514,136.702, 35.517,  3.0,  3.9, 15.0,265.2, 90.0
   2,136.663, 35.511,136.660, 35.514,  3.0, 10.8, 15.0,284.9, 90.0
G030092, 6.8,   1,Ikedayama fault
   1,136.540, 35.494,136.537, 35.497,  3.0, 15.7, 15.0,165.3, 90.0
G030093, 7.3,   1,Tsushima fault zone
   1,136.626, 35.300,136.623, 35.303,  3.0, 30.6, 15.0,155.0, 90.0
G030094, 6.7,   1,Suzukaoki fault
   1,136.729, 34.927,136.726, 34.930,  3.0, 13.3, 13.0,219.8, 90.0
G030095, 7.0,   1,Yoro-sanchi-seien fault zone
   1,136.490, 35.245,136.487, 35.248,  3.0, 19.2, 15.0,138.6, 90.0
G030096, 6.9,   1,Hokyoji fault
   1,136.613, 35.937,136.610, 35.940,  3.0, 17.4, 15.0,250.0, 90.0
G030097, 6.5,   1,Kanekusa-dake fault zone
   1,136.363, 35.815,136.360, 35.818,  3.0, 10.0, 10.0,221.4, 90.0
G030098, 6.7,   1,Okukawanami fault
   1,136.173, 35.659,136.170, 35.662,  3.0, 13.3, 13.0,117.4, 90.0
G030099, 6.6,   1,Sarake fault
   1,136.179, 36.069,136.176, 36.072,  3.0, 12.5, 12.0,245.5, 90.0
G030100, 6.9,   1,Hosenji fault zone
   1,136.098, 36.032,136.095, 36.035,  3.0, 17.3, 15.0,175.1, 90.0
G030101, 7.0,   1,Mihama-wan-oki fault
   1,135.929, 35.825,135.926, 35.828,  3.0, 20.6, 15.0,192.9, 90.0
G030102, 6.6,   1,Mimi-kawa fault zone
   1,135.995, 35.610,135.992, 35.613,  3.0, 11.4, 11.0,190.1, 90.0
G030103, 6.6,   1,Biwako-togan-kotei fault
   1,136.170, 35.423,136.167, 35.426,  3.0, 12.4, 12.0,136.0, 90.0
G030104, 6.6,   1,Kumagawa fault zone
   1,135.950, 35.426,135.947, 35.429,  3.0, 11.4, 11.0,289.7, 90.0
G030105, 6.7,   1,Biwako-nambu-kotei fault
   1,136.097, 35.227,136.094, 35.230,  3.0, 14.4, 14.0,233.9, 90.0
G030106, 7.1,   2,Odorii fault zone
   1,136.003, 34.907,136.000, 34.910,  3.0, 17.8, 15.0, 40.6, 90.0
   2,136.130, 35.029,136.127, 35.032,  3.0,  6.3, 15.0,335.3, 90.0
