#
# VER. = 1.0
#
# DATE = 2017-04-06
#
# UPDATED
#
# MNO, JLG, JLA, WLG, WLA, FRQ, BVL, MMN, ANO, DEP, STR, DIP
   173,137.203, 34.897,137.200, 34.900,3.35955e-04,  0.900, 5.0,  1, 34.5,245.0,  9.0
   174,137.303, 34.897,137.300, 34.900,3.83971e-04,  0.900, 5.0,  1, 34.0,242.0, 12.0
   175,137.403, 34.897,137.400, 34.900,4.49316e-04,  0.900, 5.0,  1, 33.3,240.0, 13.0
   176,137.503, 34.897,137.500, 34.900,5.02584e-04,  0.900, 5.0,  1, 32.1,237.0, 14.0
   177,137.603, 34.897,137.600, 34.900,5.14555e-04,  0.900, 5.0,  1, 30.9,235.0, 16.0
   178,137.703, 34.897,137.700, 34.900,4.86173e-04,  0.900, 5.0,  1, 29.5,232.0, 17.0
   179,137.803, 34.897,137.800, 34.900,4.46991e-04,  0.900, 5.0,  1, 27.2,228.0, 17.0
   180,137.903, 34.897,137.900, 34.900,4.23979e-04,  0.900, 5.0,  1, 24.7,224.0, 18.0
   181,138.003, 34.897,138.000, 34.900,4.18289e-04,  0.900, 5.0,  1, 21.9,218.0, 18.0
   182,138.103, 34.897,138.100, 34.900,4.11981e-04,  0.900, 5.0,  1, 18.9,211.0, 17.0
   183,138.203, 34.897,138.200, 34.900,3.89205e-04,  0.900, 5.0,  1, 16.1,207.0, 17.0
   184,138.303, 34.897,138.300, 34.900,3.48362e-04,  0.900, 5.0,  1, 13.4,203.0, 16.0
   185,138.403, 34.897,138.400, 34.900,2.98994e-04,  0.900, 5.0,  1, 11.0,201.0, 14.0
   186,138.503, 34.897,138.500, 34.900,2.51944e-04,  0.900, 5.0,  1,  8.8,199.0, 12.0
   187,138.603, 34.897,138.600, 34.900,2.13200e-04,  0.900, 5.0,  1,  7.0,201.0, 11.0
   188,135.603, 34.797,135.600, 34.800,1.41997e-04,  0.900, 5.0,  1, 72.7,209.0, 21.0
   189,135.703, 34.797,135.700, 34.800,1.46477e-04,  0.900, 5.0,  1, 68.9,205.0, 22.0
   190,135.803, 34.797,135.800, 34.800,1.56510e-04,  0.900, 5.0,  1, 65.0,203.0, 23.0
   191,135.903, 34.797,135.900, 34.800,1.70678e-04,  0.900, 5.0,  1, 61.0,202.0, 24.0
   192,136.003, 34.797,136.000, 34.800,1.83245e-04,  0.900, 5.0,  1, 57.0,200.0, 24.0
   193,136.103, 34.797,136.100, 34.800,1.88499e-04,  0.900, 5.0,  1, 53.2,201.0, 25.0
   194,136.203, 34.797,136.200, 34.800,1.86723e-04,  0.900, 5.0,  1, 49.7,201.0, 25.0
   195,136.303, 34.797,136.300, 34.800,1.82609e-04,  0.900, 5.0,  1, 46.5,202.0, 23.0
   196,136.403, 34.797,136.400, 34.800,1.79088e-04,  0.900, 5.0,  1, 43.6,202.0, 22.0
   197,136.503, 34.797,136.500, 34.800,1.77428e-04,  0.900, 5.0,  1, 41.1,203.0, 20.0
   198,136.603, 34.797,136.600, 34.800,1.81755e-04,  0.900, 5.0,  1, 39.0,209.0, 19.0
   199,136.703, 34.797,136.700, 34.800,1.97433e-04,  0.900, 5.0,  1, 37.2,210.0, 16.0
   200,136.803, 34.797,136.800, 34.800,2.23650e-04,  0.900, 5.0,  1, 35.8,228.0, 16.0
   201,136.903, 34.797,136.900, 34.800,2.50872e-04,  0.900, 5.0,  1, 34.9,237.0, 14.0
   202,137.003, 34.797,137.000, 34.800,2.68869e-04,  0.900, 5.0,  1, 34.2,241.0, 12.0
   203,137.103, 34.797,137.100, 34.800,2.78695e-04,  0.900, 5.0,  1, 33.7,244.0, 13.0
   204,137.203, 34.797,137.200, 34.800,2.96276e-04,  0.900, 5.0,  1, 33.0,244.0, 12.0
   205,137.303, 34.797,137.300, 34.800,3.39542e-04,  0.900, 5.0,  1, 32.1,241.0, 14.0
   206,137.403, 34.797,137.400, 34.800,4.06506e-04,  0.900, 5.0,  1, 31.4,241.0, 16.0
   207,137.503, 34.797,137.500, 34.800,4.67644e-04,  0.900, 5.0,  1, 29.5,240.0, 18.0
   208,137.603, 34.797,137.600, 34.800,4.87795e-04,  0.900, 5.0,  1, 27.8,238.0, 18.0
   209,137.703, 34.797,137.700, 34.800,4.58354e-04,  0.900, 5.0,  1, 26.2,235.0, 19.0
   210,137.803, 34.797,137.800, 34.800,4.03836e-04,  0.900, 5.0,  1, 24.1,232.0, 18.0
   211,137.903, 34.797,137.900, 34.800,3.57037e-04,  0.900, 5.0,  1, 21.8,226.0, 17.0
   212,138.003, 34.797,138.000, 34.800,3.32899e-04,  0.900, 5.0,  1, 19.5,220.0, 16.0
   213,138.103, 34.797,138.100, 34.800,3.24761e-04,  0.900, 5.0,  1, 17.0,212.0, 15.0
   214,138.203, 34.797,138.200, 34.800,3.17624e-04,  0.900, 5.0,  1, 14.5,207.0, 14.0
   215,138.303, 34.797,138.300, 34.800,3.01792e-04,  0.900, 5.0,  1, 12.1,204.0, 14.0
   216,138.403, 34.797,138.400, 34.800,2.76973e-04,  0.900, 5.0,  1,  9.9,199.0, 12.0
   217,138.503, 34.797,138.500, 34.800,2.48032e-04,  0.900, 5.0,  1,  8.0,198.0, 12.0
   218,138.603, 34.797,138.600, 34.800,2.19771e-04,  0.900, 5.0,  1,  7.0,195.0, 11.0
   219,135.503, 34.697,135.500, 34.700,1.67653e-04,  0.900, 5.0,  1, 73.7,214.0, 20.0
   220,135.603, 34.697,135.600, 34.700,1.69111e-04,  0.900, 5.0,  1, 70.4,209.0, 21.0
   221,135.703, 34.697,135.700, 34.700,1.70925e-04,  0.900, 5.0,  1, 66.9,206.0, 22.0
   222,135.803, 34.697,135.800, 34.700,1.76189e-04,  0.900, 5.0,  1, 63.3,204.0, 23.0
   223,135.903, 34.697,135.900, 34.700,1.85722e-04,  0.900, 5.0,  1, 59.4,203.0, 24.0
   224,136.003, 34.697,136.000, 34.700,1.95589e-04,  0.900, 5.0,  1, 55.5,202.0, 25.0
   225,136.103, 34.697,136.100, 34.700,2.00359e-04,  0.900, 5.0,  1, 51.7,203.0, 25.0
   226,136.203, 34.697,136.200, 34.700,1.99275e-04,  0.900, 5.0,  1, 48.2,203.0, 25.0
   227,136.303, 34.697,136.300, 34.700,1.95494e-04,  0.900, 5.0,  1, 45.0,204.0, 24.0
   228,136.403, 34.697,136.400, 34.700,1.90698e-04,  0.900, 5.0,  1, 42.2,206.0, 23.0
   229,136.503, 34.697,136.500, 34.700,1.85900e-04,  0.900, 5.0,  1, 39.6,210.0, 21.0
   230,136.603, 34.697,136.600, 34.700,1.85911e-04,  0.900, 5.0,  1, 37.5,214.0, 20.0
   231,136.703, 34.697,136.700, 34.700,1.96639e-04,  0.900, 5.0,  1, 35.8,227.0, 19.0
   232,136.803, 34.697,136.800, 34.700,2.16985e-04,  0.900, 5.0,  1, 34.4,234.0, 17.0
   233,136.903, 34.697,136.900, 34.700,2.36836e-04,  0.900, 5.0,  1, 33.4,241.0, 16.0
   234,137.003, 34.697,137.000, 34.700,2.45637e-04,  0.900, 5.0,  1, 32.5,245.0, 16.0
   235,137.103, 34.697,137.100, 34.700,2.44002e-04,  0.900, 5.0,  1, 31.7,245.0, 16.0
   236,137.203, 34.697,137.200, 34.700,2.46659e-04,  0.900, 5.0,  1, 30.8,245.0, 17.0
   237,137.303, 34.697,137.300, 34.700,2.70840e-04,  0.900, 5.0,  1, 28.9,244.0, 19.0
   238,137.403, 34.697,137.400, 34.700,3.17682e-04,  0.900, 5.0,  1, 27.6,244.0, 19.0
   239,137.503, 34.697,137.500, 34.700,3.65035e-04,  0.900, 5.0,  1, 25.8,240.0, 19.0
   240,137.603, 34.697,137.600, 34.700,3.83553e-04,  0.900, 5.0,  1, 24.1,240.0, 19.0
   241,137.703, 34.697,137.700, 34.700,3.62894e-04,  0.900, 5.0,  1, 22.6,237.0, 18.0
   242,137.803, 34.697,137.800, 34.700,3.20633e-04,  0.900, 5.0,  1, 21.1,235.0, 18.0
   243,137.903, 34.697,137.900, 34.700,2.85487e-04,  0.900, 5.0,  1, 19.3,230.0, 16.0
   244,138.003, 34.697,138.000, 34.700,2.73721e-04,  0.900, 5.0,  1, 17.2,222.0, 14.0
   245,138.103, 34.697,138.100, 34.700,2.79955e-04,  0.900, 5.0,  1, 15.2,216.0, 14.0
