#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ATHOP,   1
ATHOP,-9.0, 28.9, 907,Great East Japan Earthquake (2011 type)
 227,142.300, 38.700,142.296, 38.703, 35.6
 228,142.400, 38.700,142.396, 38.703, 32.4
 229,142.500, 38.700,142.496, 38.703, 29.5
 230,142.600, 38.700,142.596, 38.703, 27.3
 231,142.700, 38.700,142.696, 38.703, 25.3
 232,142.800, 38.700,142.796, 38.703, 23.5
 233,142.900, 38.700,142.896, 38.703, 21.7
 234,143.000, 38.700,142.996, 38.703, 20.0
 235,143.100, 38.700,143.096, 38.703, 18.6
 236,143.200, 38.700,143.196, 38.703, 17.3
 237,143.300, 38.700,143.296, 38.703, 16.0
 238,143.400, 38.700,143.396, 38.703, 14.8
 239,143.500, 38.700,143.496, 38.703, 13.5
 240,143.600, 38.700,143.596, 38.703, 12.3
 241,143.700, 38.700,143.696, 38.703, 11.1
 242,143.800, 38.700,143.796, 38.703, 10.1
 243,143.900, 38.700,143.896, 38.703,  9.3
 244,144.000, 38.700,143.996, 38.703,  8.5
 245,141.900, 38.600,141.896, 38.603, 48.3
 246,142.000, 38.600,141.996, 38.603, 44.9
 247,142.100, 38.600,142.096, 38.603, 41.7
 248,142.200, 38.600,142.196, 38.603, 38.3
 249,142.300, 38.600,142.296, 38.603, 34.8
 250,142.400, 38.600,142.396, 38.603, 31.5
 251,142.500, 38.600,142.496, 38.603, 28.8
 252,142.600, 38.600,142.596, 38.603, 26.7
 253,142.700, 38.600,142.696, 38.603, 24.7
 254,142.800, 38.600,142.796, 38.603, 22.9
 255,142.900, 38.600,142.896, 38.603, 21.2
 256,143.000, 38.600,142.996, 38.603, 19.6
 257,143.100, 38.600,143.096, 38.603, 18.2
 258,143.200, 38.600,143.196, 38.603, 16.9
 259,143.300, 38.600,143.296, 38.603, 15.7
 260,143.400, 38.600,143.396, 38.603, 14.5
 261,143.500, 38.600,143.496, 38.603, 13.3
 262,143.600, 38.600,143.596, 38.603, 12.1
 263,143.700, 38.600,143.696, 38.603, 10.9
 264,143.800, 38.600,143.796, 38.603,  9.9
 265,143.900, 38.600,143.896, 38.603,  9.1
 266,144.000, 38.600,143.996, 38.603,  8.3
 267,141.900, 38.500,141.896, 38.503, 47.6
 268,142.000, 38.500,141.996, 38.503, 44.3
 269,142.100, 38.500,142.096, 38.503, 41.0
 270,142.200, 38.500,142.196, 38.503, 37.5
 271,142.300, 38.500,142.296, 38.503, 34.0
 272,142.400, 38.500,142.396, 38.503, 30.7
