Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CYNG_INTER_1_68,CYNG_INTER,1,68.0,FRQ(0.0156093),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.7)
CYNG_INTER_1_69,CYNG_INTER,1,69.0,FRQ(0.0138694),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.7)
CYNG_INTER_1_60,CYNG_INTER,1,60.0,FRQ(0.0144408),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.8)
CYNG_INTER_1_61,CYNG_INTER,1,61.0,FRQ(0.0126995),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.8)
CYNG_INTER_1_56,CYNG_INTER,1,56.0,FRQ(0.00847316),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.9)
CYNG_INTER_1_64,CYNG_INTER,1,64.0,FRQ(0.00942115),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.8)
CYNG_INTER_1_65,CYNG_INTER,1,65.0,FRQ(0.0209019),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.7)
CYNG_INTER_1_66,CYNG_INTER,1,66.0,FRQ(0.019596),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.7)
CYNG_INTER_1_67,CYNG_INTER,1,67.0,FRQ(0.0176847),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.7)
CYNG_INTER_1_63,CYNG_INTER,1,63.0,FRQ(0.0102553),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.8)
CYNG_INTER_1_120,CYNG_INTER,1,120.0,FRQ(0.0149697),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.1)
CYNG_INTER_1_121,CYNG_INTER,1,121.0,FRQ(0.0386922),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24)
CYNG_INTER_1_122,CYNG_INTER,1,122.0,FRQ(0.0368503),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24)
CYNG_INTER_1_123,CYNG_INTER,1,123.0,FRQ(0.0327406),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24)
CYNG_INTER_1_124,CYNG_INTER,1,124.0,FRQ(0.0277369),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24)
CYNG_INTER_1_125,CYNG_INTER,1,125.0,FRQ(0.0236382),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24)
CYNG_INTER_1_126,CYNG_INTER,1,126.0,FRQ(0.0208485),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24)
CYNG_INTER_1_127,CYNG_INTER,1,127.0,FRQ(0.0185787),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24)
CYNG_INTER_1_128,CYNG_INTER,1,128.0,FRQ(0.0163259),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24)
CYNG_INTER_1_129,CYNG_INTER,1,129.0,FRQ(0.0284016),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 23.9)
CYNG_INTER_1_9,CYNG_INTER,1,9.0,FRQ(0.00755144),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25.4)
CYNG_INTER_1_8,CYNG_INTER,1,8.0,FRQ(0.00753424),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25.5)
CYNG_INTER_1_1,CYNG_INTER,1,1.0,FRQ(0.00753533),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25.5)
CYNG_INTER_1_3,CYNG_INTER,1,3.0,FRQ(0.00753563),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25.5)
CYNG_INTER_1_2,CYNG_INTER,1,2.0,FRQ(0.0075356),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25.5)
CYNG_INTER_1_5,CYNG_INTER,1,5.0,FRQ(0.00753491),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25.5)
CYNG_INTER_1_4,CYNG_INTER,1,4.0,FRQ(0.00753536),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25.5)
CYNG_INTER_1_7,CYNG_INTER,1,7.0,FRQ(0.00753432),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25.5)
CYNG_INTER_1_6,CYNG_INTER,1,6.0,FRQ(0.00753453),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25.5)
CYNG_INTER_1_19,CYNG_INTER,1,19.0,FRQ(0.00761637),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25.3)
CYNG_INTER_1_18,CYNG_INTER,1,18.0,FRQ(0.00762146),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25.3)
CYNG_INTER_1_15,CYNG_INTER,1,15.0,FRQ(0.00754146),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 25.4)
CYNG_INTER_1_14,CYNG_INTER,1,14.0,FRQ(0.00754316),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 25.4)
CYNG_INTER_1_17,CYNG_INTER,1,17.0,FRQ(0.00761946),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 25.3)
CYNG_INTER_1_16,CYNG_INTER,1,16.0,FRQ(0.00754072),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 25.4)
CYNG_INTER_1_11,CYNG_INTER,1,11.0,FRQ(0.00755186),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 25.4)
CYNG_INTER_1_10,CYNG_INTER,1,10.0,FRQ(0.00755233),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 25.4)
CYNG_INTER_1_13,CYNG_INTER,1,13.0,FRQ(0.00754608),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 25.4)
CYNG_INTER_1_12,CYNG_INTER,1,12.0,FRQ(0.0075495),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 25.4)
CYNG_INTER_1_95,CYNG_INTER,1,95.0,FRQ(0.0115339),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 24.4)
CYNG_INTER_1_94,CYNG_INTER,1,94.0,FRQ(0.0123975),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 24.4)
CYNG_INTER_1_97,CYNG_INTER,1,97.0,FRQ(0.0323023),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.3 24.3)
CYNG_INTER_1_96,CYNG_INTER,1,96.0,FRQ(0.010856),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 24.4)
CYNG_INTER_1_91,CYNG_INTER,1,91.0,FRQ(0.0193589),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.4)
CYNG_INTER_1_90,CYNG_INTER,1,90.0,FRQ(0.0218791),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.4)
CYNG_INTER_1_93,CYNG_INTER,1,93.0,FRQ(0.013893),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 24.4)
CYNG_INTER_1_92,CYNG_INTER,1,92.0,FRQ(0.016361),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 24.4)
CYNG_INTER_1_99,CYNG_INTER,1,99.0,FRQ(0.0260804),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 24.3)
CYNG_INTER_1_98,CYNG_INTER,1,98.0,FRQ(0.0301875),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 24.3)
CYNG_INTER_1_177,CYNG_INTER,1,177.0,FRQ(0.00775518),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.3)
CYNG_INTER_1_176,CYNG_INTER,1,176.0,FRQ(0.00793133),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (123 23.4)
CYNG_INTER_1_175,CYNG_INTER,1,175.0,FRQ(0.00803963),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.9 23.4)
CYNG_INTER_1_174,CYNG_INTER,1,174.0,FRQ(0.00811072),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.8 23.4)
CYNG_INTER_1_173,CYNG_INTER,1,173.0,FRQ(0.00810453),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.7 23.4)
CYNG_INTER_1_172,CYNG_INTER,1,172.0,FRQ(0.00805322),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.6 23.4)
CYNG_INTER_1_171,CYNG_INTER,1,171.0,FRQ(0.00804344),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.5 23.4)
CYNG_INTER_1_170,CYNG_INTER,1,170.0,FRQ(0.00811729),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (122.4 23.4)
