Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CJPS_CRUST_1_933,CJPS_CRUST,1,933.0,FRQ(0.000539233),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 39.6)
CJPS_CRUST_1_932,CJPS_CRUST,1,932.0,FRQ(0.000543868),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 39.6)
CJPS_CRUST_1_935,CJPS_CRUST,1,935.0,FRQ(0.000567006),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 39.6)
CJPS_CRUST_1_934,CJPS_CRUST,1,934.0,FRQ(0.000545942),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 39.6)
CJPS_CRUST_1_937,CJPS_CRUST,1,937.0,FRQ(0.000633806),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 39.6)
CJPS_CRUST_1_936,CJPS_CRUST,1,936.0,FRQ(0.000599714),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 39.6)
CJPS_CRUST_1_939,CJPS_CRUST,1,939.0,FRQ(0.000646507),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 39.6)
CJPS_CRUST_1_938,CJPS_CRUST,1,938.0,FRQ(0.000653586),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 39.6)
CJPS_CRUST_1_742,CJPS_CRUST,1,742.0,FRQ(0.00110963),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 40.7)
CJPS_CRUST_1_743,CJPS_CRUST,1,743.0,FRQ(0.000835499),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 40.7)
CJPS_CRUST_1_740,CJPS_CRUST,1,740.0,FRQ(0.00161057),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 40.7)
CJPS_CRUST_1_741,CJPS_CRUST,1,741.0,FRQ(0.00140059),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 40.7)
CJPS_CRUST_1_746,CJPS_CRUST,1,746.0,FRQ(0.000464734),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.1 40.6)
CJPS_CRUST_1_747,CJPS_CRUST,1,747.0,FRQ(0.000465656),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.2 40.6)
CJPS_CRUST_1_744,CJPS_CRUST,1,744.0,FRQ(0.000636916),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 40.7)
CJPS_CRUST_1_745,CJPS_CRUST,1,745.0,FRQ(0.000522267),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 40.7)
CJPS_CRUST_1_748,CJPS_CRUST,1,748.0,FRQ(0.000471457),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.3 40.6)
CJPS_CRUST_1_749,CJPS_CRUST,1,749.0,FRQ(0.000489701),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.4 40.6)
CJPS_CRUST_1_504,CJPS_CRUST,1,504.0,FRQ(0.00121206),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 42.4)
CJPS_CRUST_1_505,CJPS_CRUST,1,505.0,FRQ(0.00104129),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 42.4)
CJPS_CRUST_1_506,CJPS_CRUST,1,506.0,FRQ(0.000853332),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 42.4)
CJPS_CRUST_1_507,CJPS_CRUST,1,507.0,FRQ(0.000691684),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 42.4)
CJPS_CRUST_1_500,CJPS_CRUST,1,500.0,FRQ(0.000555772),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 42.5)
CJPS_CRUST_1_502,CJPS_CRUST,1,502.0,FRQ(0.00138247),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 42.4)
CJPS_CRUST_1_503,CJPS_CRUST,1,503.0,FRQ(0.00133023),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 42.4)
CJPS_CRUST_1_508,CJPS_CRUST,1,508.0,FRQ(0.000586866),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 42.4)
CJPS_CRUST_1_509,CJPS_CRUST,1,509.0,FRQ(0.00115104),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 42.3)
CJPS_CRUST_1_315,CJPS_CRUST,1,315.0,FRQ(0.000540528),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 44)
CJPS_CRUST_1_314,CJPS_CRUST,1,314.0,FRQ(0.00057426),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 44)
CJPS_CRUST_1_317,CJPS_CRUST,1,317.0,FRQ(0.000458748),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 44)
CJPS_CRUST_1_316,CJPS_CRUST,1,316.0,FRQ(0.000497692),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 44)
CJPS_CRUST_1_311,CJPS_CRUST,1,311.0,FRQ(0.000576195),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 44)
